time,x,y,z
11094832,1.8507,9.0764,-3.6081
11095466,1.6664,9.0549,-2.8826
11095532,1.6783,9.0980,-2.9497
11095602,1.7071,9.0549,-3.1891
11095672,1.7214,9.0716,-3.2441
11095742,1.7190,9.0573,-3.2705
11095812,1.6688,9.0573,-3.2346
11095882,1.6400,9.0525,-3.2513
11095952,1.6257,9.0477,-3.1723
11096022,1.6400,9.0573,-3.2489
11096092,1.6520,9.0501,-3.2034
11096162,1.6257,9.0621,-3.1867
11096232,1.6568,9.0692,-3.2178
11096302,1.7047,9.0094,-3.1532
11096372,1.7573,8.9830,-3.1987
11096442,1.8004,8.9519,-3.1987
11096512,1.7573,9.0190,-3.1867
11096582,1.6592,9.1243,-3.1077
11096652,1.6472,9.1099,-3.2465
11096723,1.6161,9.1435,-3.1891
11096797,1.6400,9.0357,-3.2896
11096862,1.6879,8.9783,-3.4644
11096932,1.6975,8.9591,-3.5338
11106102,8.8370,2.7150,-2.8706
11106666,8.7795,2.8467,-2.5498
11106732,8.7795,2.8395,-2.4373
11106802,8.7987,2.8802,-2.5857
11106872,8.7747,2.8395,-2.5187
11106944,8.7939,2.7701,-2.5618
11107012,8.6694,2.5474,-2.3894
11107082,8.8490,2.3248,-2.1739
11107152,9.1650,2.2769,-1.7980
11107222,9.4523,2.2386,-1.4892
11107292,9.6414,2.3439,-1.0942
11107362,9.5768,2.2865,-1.1779
11107432,9.1770,2.0446,-1.0630
11107502,9.0261,1.8292,-1.3599
11107572,9.0357,1.6065,-1.6903
11107642,8.9950,1.5969,-1.5682
11107712,9.1459,1.4964,-1.9106
11107782,9.0166,1.4820,-1.6065
11107852,9.0501,1.3647,-1.4653
11107922,9.2703,1.3503,-1.0965
11107992,9.2871,1.3838,-0.2514
11108062,9.4403,1.2234,0.1341
11108132,8.7604,1.0367,0.7949
11108202,7.6112,0.4070,1.4413
11108272,6.9264,0.0335,2.8970
11108342,5.1763,-0.3112,4.8100
11108412,4.0845,-0.6847,7.2544
11108482,2.6073,-0.3304,9.4930
11108552,1.3024,-0.4573,10.6327
11108622,0.7087,-0.4980,11.1977
11108692,-0.0958,-0.2131,10.9702
11108762,-0.0000,-0.4621,10.7763
11108832,-0.4286,-0.5004,10.2807
11108902,-0.3926,-0.1891,10.0844
11108972,-0.7087,-0.2035,9.6582
11109042,-0.8906,-0.1197,9.5170
11109112,-0.9553,0.0335,9.4930
11109182,-1.1923,-0.1293,9.5624
11109252,-0.7518,-0.1676,9.7468
11109322,-0.7326,-0.1604,9.6917
11109392,-0.7422,-0.1580,9.6654
11109462,-0.7542,-0.1341,9.6774
11109532,-0.7374,-0.1101,9.7061
11109602,-0.7326,-0.1030,9.6774
11109672,-0.6656,-0.1724,9.6774
11109742,-0.6488,-0.2466,9.6462
11109812,-0.6680,-0.2490,9.5720
11109882,-0.7207,-0.2203,9.6319
11109952,-0.6871,-0.2227,9.6845
11110022,-0.7350,-0.3639,9.6726
11110092,-0.6991,-0.4405,9.8114
11110162,-0.6081,-0.4980,9.8138
11110232,-0.6991,-0.4334,9.7827
11110302,-0.7159,-0.2394,9.8354
11110372,-0.8236,-0.2610,9.8019
11110443,-0.8404,-0.3089,9.7923
11110512,-0.9313,-0.4357,9.8234
11110582,-0.8859,-0.4405,9.8737
11110652,-0.8332,-0.2179,9.9168
11110722,-0.8332,-0.0311,9.8761
11110792,-0.7614,0.0503,9.7707
11110862,-0.8835,0.0048,9.8043
11110933,-0.9577,-0.1915,9.7588
11111002,-1.2258,-0.4381,9.7420
11111072,-1.2474,-0.4501,9.7396
11111142,-1.2522,-0.4094,9.6199
11111212,-1.3982,-0.1796,9.5864
11111282,-1.1923,-0.1245,9.6247
11111352,-1.1061,-0.1341,9.6822
11111422,-0.9433,-0.2729,9.6462
11111492,-0.7757,-0.4214,9.6750
11111562,-0.9960,-0.6033,9.5600
11111632,-0.9601,-0.7470,9.6007
11111702,-1.0319,-0.6823,9.6822
11111772,-1.0008,-0.7470,9.6391
11111842,-0.7901,-0.5722,9.6630
11111912,-0.9457,-0.4453,9.6199
11111982,-0.9577,-0.4310,9.5505
11112052,-0.9816,-0.3926,9.5553
11112122,-1.0175,-0.3519,9.6223
11112192,-0.9720,-0.3136,9.6510
11112262,-0.9601,-0.2777,9.6726
11112332,-1.0606,-0.3112,9.7229
11112402,-1.0271,-0.3208,9.7013
11112472,-1.0247,-0.3424,9.6774
