time,x,y,z
1953605,-0.0766,4.9033,8.7340
1953702,0.0000,4.8459,8.8490
1953751,-0.1149,4.9033,8.5425
1953801,-0.1149,4.9799,8.7340
1953851,-0.1532,4.9033,8.6383
1953901,-0.0766,4.9608,8.6191
1953951,-0.0766,4.8842,8.7532
1954001,-0.0766,4.7884,8.7149
1954051,0.0575,4.7692,8.6766
1954103,-0.0383,4.8459,8.8490
1954152,-0.0383,4.8267,8.9447
1954203,-0.1149,5.0182,8.9447
1954252,-0.0192,5.3247,9.8641
1954303,0.0383,5.3630,9.6151
1954352,0.6512,5.7269,7.3741
1954403,0.6895,5.8802,6.9528
1954452,0.9768,6.4548,6.8570
1954503,0.7661,6.3590,6.7038
1954552,0.5938,6.4356,7.5465
1954603,0.8045,6.4548,7.8721
1954652,0.8619,6.4165,7.9871
1954703,0.6321,5.8227,8.0062
1954752,0.7278,5.4588,8.4851
1954803,0.4980,4.9416,7.9296
1954852,0.5363,4.9991,8.6574
1954903,0.6895,4.6352,8.7149
1954952,0.7087,4.1372,8.6766
1955003,0.7661,4.1946,8.5808
1955052,0.6129,4.2713,8.7149
1955103,0.5938,3.9648,8.9064
1955152,0.5938,3.7350,9.0405
1955203,0.5746,3.7350,9.2320
1955252,0.4788,3.6200,9.3661
1955303,0.0000,3.6200,9.9599
1955352,0.2682,3.3710,9.9216
1955403,0.1915,3.4477,9.3087
1955452,0.1341,3.7924,9.1363
1955503,0.1532,3.8116,9.2320
1955552,0.1341,3.7733,9.1746
1955601,0.0575,3.8690,9.1171
1955651,0.1532,3.7733,9.2129
1955702,0.2682,3.8499,9.0022
1955752,0.1915,3.9073,9.0980
1955802,0.1915,3.7733,8.9256
1955851,0.2490,3.8690,9.2129
1955901,0.3256,3.7158,9.0022
1955952,0.4788,3.5817,9.1171
1956003,0.4022,3.7924,9.6151
1956052,0.0958,3.7924,8.7340
1956103,0.4788,3.7924,9.1937
1956152,0.3448,3.6775,9.4044
1956203,0.3065,4.3479,10.0173
1956252,0.5171,4.0797,7.6423
1956303,0.4214,6.0525,8.9447
1956352,0.8045,5.0182,7.9296
1956403,0.0192,5.6503,8.6383
1956452,0.0000,4.9416,8.1211
1956503,-1.1109,4.2713,7.7189
1956552,0.6704,5.1523,10.7069
1956603,0.1149,4.5777,8.5617
1956652,0.1724,4.9991,8.9256
1956703,0.2107,4.8076,8.6574
1956752,0.3065,5.0566,9.5002
1956803,-0.0575,4.2521,8.1977
1956853,0.0192,4.3862,8.7724
1956903,0.1532,4.6160,8.9256
1956952,0.1724,4.7884,9.2895
1957002,0.4597,4.4245,8.8681
1957053,0.7470,4.0606,8.3893
1957103,0.4597,4.3862,8.9639
1957152,0.7278,3.1412,12.8904
1957202,-0.1341,2.8539,11.7220
1957253,0.1149,4.9225,9.7875
1957302,1.9154,6.8378,13.5225
1957352,-2.1644,5.3247,9.6917
1957402,-0.7470,6.1675,5.6120
1957453,-1.6664,6.6655,4.4819
1957503,-0.9002,7.3741,2.8730
1957552,-1.7238,6.5888,2.8156
1957602,-2.2218,6.4548,3.4668
1957653,-2.5474,5.4205,4.7692
1957702,-2.3750,5.9568,5.8802
1957752,-1.3791,6.0142,6.7804
1957802,-1.3024,5.8993,7.5465
1957853,-0.7278,5.3439,7.5848
1957903,-1.0151,4.7309,7.0102
1957952,-0.4980,4.1755,8.3893
1958002,0.3639,2.5857,8.8681
1958052,0.1149,2.0303,8.8107
1958103,-0.4597,1.7238,8.9639
1958152,0.3448,0.9577,9.5768
1958202,-0.1915,-0.0383,12.0285
1958253,1.3024,-0.0575,11.5113
1958303,1.6664,0.4022,11.1666
1958352,1.4557,1.7238,10.2663
1958402,2.0111,-0.0383,10.1706
1958453,1.8962,-0.7087,9.3661
1958503,2.0111,-2.7390,10.3813
1958552,2.6432,-3.0837,9.3661
1958602,3.3136,-2.1452,10.1131
1958653,3.7541,-1.5514,9.9216
1958702,3.2561,-1.0151,8.7532
1958752,2.6432,-0.6321,9.0980
1958803,2.5091,-0.6704,9.2129
1958853,2.3367,-1.0534,9.1746
1958903,2.0686,-1.2641,9.2512
1958952,2.2410,-1.4557,9.4044
1959002,1.9920,-1.3982,9.3853
1959052,1.6089,-1.1301,9.2895
1959103,1.1684,-1.0918,9.8450
