time,x,y,z
625074,5.3247,5.9376,-5.4588,
625180,5.3822,6.2058,-5.4588,
625223,5.4013,6.1483,-5.3439,
625273,5.4013,6.2441,-5.4013,
625323,5.2864,6.3398,-5.5545,
625373,5.2672,6.2824,-5.5162,
625423,5.3630,6.3015,-5.7652,
625473,5.2672,6.2632,-5.4588,
625523,5.3822,6.2441,-5.5354,
625573,5.4779,6.3015,-5.6312,
625623,5.4396,6.1675,-5.1906,
625674,5.4779,6.3015,-5.6120,
625723,5.5929,6.1483,-5.2672,
625773,5.4396,6.3015,-5.2672,
625823,5.5929,6.2441,-5.5354,
625874,5.6695,6.2441,-5.2098,
625923,5.7461,6.1483,-5.0182,
625974,5.6695,6.1483,-4.9416,
626023,5.6886,6.2249,-5.7269,
626074,5.7844,6.1483,-5.1906,
626124,6.1483,5.9951,-5.3056,
626174,6.3590,5.7652,-5.3056,
626223,5.7078,6.3398,-4.5777,
626274,6.5314,6.3782,-4.7884,
626323,6.2824,5.9759,-4.2713,
626374,7.3933,5.7078,-3.0646,
626423,7.1826,5.9568,-3.6392,
626474,7.4891,5.3630,-1.6281,
626523,7.6998,5.5929,-1.2450,
626574,8.3701,5.6886,-0.7853,
626623,7.6998,5.8993,-0.8045,
626673,7.7764,5.6503,-0.6321,
626723,7.5082,7.2209,0.4214,
626773,7.2018,4.5969,1.2067,
626823,6.8953,3.8690,1.9920,
626874,5.5162,-0.4597,-0.5555,
626923,8.6574,-1.2641,0.5938,
626974,6.5122,2.0494,1.7813,
627023,6.7229,0.6704,3.5434,
627074,5.2672,2.4134,6.8761,
627123,5.8035,2.6815,7.7381,
627174,4.1563,3.2178,10.5728,
627223,3.3519,3.4860,11.2049,
627274,3.1603,3.3710,11.7795,
627323,2.2984,0.4788,11.1857,
627374,2.7198,0.8428,11.6262,
627423,2.0686,0.7278,10.2472,
627474,1.3408,0.0958,10.2089,
627523,0.8045,0.2682,10.2855,
627574,0.4022,-0.5555,10.1706,
627623,0.7278,-0.4405,10.3621,
627673,1.0534,0.6321,10.4579,
627723,0.8045,0.3639,9.6534,
627773,1.4557,1.1492,10.1514,
627823,0.3639,0.3639,9.3661,
627874,0.1724,0.4788,9.2895,
627923,0.4214,0.6895,10.4770,
627974,0.9002,0.7853,11.7986,
628023,-0.1724,0.7470,9.7875,
628074,-0.9768,1.2258,9.3278,
628123,-0.4405,1.5323,10.0365,
628173,1.0534,0.9577,9.0597,
628224,2.8922,2.0111,9.4619,
628276,-0.2682,0.5938,9.5002,
628325,-1.0726,0.6895,9.8067,
628375,-0.2107,0.8045,8.8873,
628427,0.8045,0.2682,9.0597,
628476,2.2793,0.3448,11.4156,
628525,0.4214,0.4405,10.6877,
628575,-0.4214,0.3639,9.9790,
628625,1.0918,0.1532,9.3087,
628675,0.7853,0.2873,9.0980,
628723,0.6321,0.2490,10.1323,
628774,0.7278,0.3831,9.0405,
628825,0.7470,0.2490,10.2280,
628875,0.7853,0.2682,9.9599,
628925,0.7661,0.2873,9.8067,
628975,0.8045,0.2873,9.8450,
629025,0.7661,0.3065,9.8258,
629076,0.8045,0.3065,9.8258,
629125,0.7853,0.3639,9.7683,
629175,0.7470,0.4022,9.7875,
629225,0.7278,0.4022,9.8067,
629275,0.6895,0.4405,9.7492,
629324,0.6704,0.4214,9.7492,
629375,0.6704,0.4214,9.8067,
