'time','x','y','z'
760143,5.1523,7.1635,-4.7692
760194,5.1715,7.1251,-4.6926
760243,5.3247,6.9719,-4.4819
760293,5.2864,6.9911,-4.4819
760343,5.3247,7.0294,-4.5777
760393,5.2864,7.1251,-4.5586
760443,5.4396,7.0868,-4.7501
760493,5.6120,6.9528,-4.5586
760545,5.5545,7.0868,-5.2672
760594,5.9185,6.3973,-3.9073
760645,5.7652,6.6080,-3.1029
760695,5.6695,7.1443,-3.6009
760745,6.5505,7.3358,-4.4628
760795,6.4739,6.7038,-3.8116
760845,6.7421,6.5697,1.0918
760895,7.4124,7.1635,-0.8428
760945,6.0908,8.0062,-1.4557
760995,6.1292,7.2592,1.7238
761045,6.3398,7.7381,0.8428
761095,7.2975,7.1251,0.2107
761145,6.8761,6.4739,-0.3639
761195,7.0102,6.3398,-0.1532
761245,6.9911,6.4931,0.9768
761295,5.8802,5.1906,0.4788
761345,3.9265,5.2481,3.9456
761395,1.7238,8.0254,6.6655
761445,3.2944,4.7501,8.2552
761495,0.1341,6.8570,7.7572
761546,0.9577,4.8076,9.4236
761595,-4.5586,7.5848,7.6423
761645,-3.9648,7.3741,7.1443
761695,-2.7964,5.8802,6.7804
761745,-1.3599,5.4971,6.7612
761794,3.1412,1.2641,9.6534
761845,3.1220,-0.2490,11.1282
761895,1.2833,-0.6704,10.0173
761945,-1.0151,0.9385,10.7835
761995,0.3639,-1.1301,11.3581
762045,0.5555,1.6664,9.4619
762095,0.0383,-1.5514,11.6837
762144,-1.3599,0.3065,9.8641
762193,-1.3599,-2.1069,10.1706
762245,-0.4214,0.4405,10.4196
762295,-0.8045,-0.5555,10.2472
762345,-1.1301,-0.6129,9.7683
762394,-0.7470,-0.0958,9.8641
762444,-1.2067,0.1341,9.7492
762496,-1.3024,0.2107,9.8641
762546,-0.7661,-0.1915,9.8067
762595,-0.8811,0.1149,9.8641
762645,-0.7278,-0.3256,9.5577
762695,-1.0534,0.5938,9.7492
762745,-0.4980,0.2490,10.0748
762794,0.1341,-0.0958,9.1746
762845,-0.0958,-0.6704,9.6917
762895,-0.3639,-0.4980,9.6917
762945,-0.0575,-0.4405,9.6726
762994,-0.4980,0.1724,9.7875
763045,-0.5746,0.2490,9.8258
763095,-0.7661,-0.1724,9.7109
763145,-0.4788,0.1149,9.8258
763194,-0.2873,-0.1341,9.8258
763245,-0.0958,-0.4022,9.7492
763296,-0.1532,-0.3639,9.7300
763344,-0.1532,-0.6895,9.7300
763394,-0.1724,-0.4405,9.8258
763444,0.1149,-0.0958,9.9216
763495,-0.4214,-0.0575,10.1131
763546,-0.0766,0.1724,9.7109
763594,-0.0192,-0.5555,9.9216
763645,-0.1532,-0.3065,9.6534
763695,-0.1915,0.0192,9.7492
763746,0.0192,-0.3448,9.7875
763794,0.2682,-0.0766,9.6151
763845,0.2682,-0.1724,9.7300
763895,0.0958,-0.3256,9.9024
763944,0.1532,-0.2298,9.7875
763994,0.0766,-0.3065,9.8067
764045,0.0958,-0.1724,9.8450
764095,0.1149,-0.2490,9.8067
764145,0.1149,-0.2682,9.7300
764195,0.0766,-0.2682,9.8450
764245,0.1341,-0.1915,9.8641
764295,0.0766,-0.2682,9.7683
764346,0.0383,-0.1532,9.8833
764394,0.0575,-0.2107,9.8258
764445,0.0766,-0.1532,9.7875
764495,0.0383,-0.1149,9.6917
