time,x,y,z
16307513,8.9064,2.8730,-1.8196
16307606,9.1554,2.7390,-1.1109
16307654,9.4427,2.8730,-1.7238
16307704,9.5002,2.8539,-1.5131
16307754,9.0405,2.6815,-1.2258
16307804,9.1746,2.8922,-1.4174
16307854,9.5193,2.8156,-1.2067
16307904,9.0597,2.8730,-1.3982
16307954,9.4236,2.9113,-1.3599
16308004,8.9256,2.6240,-2.1261
16308055,9.1937,2.5666,-1.3024
16308105,8.3893,2.8539,-2.2793
16308155,9.0597,2.8347,-2.2218
16308205,8.6383,3.3902,-1.4365
16308255,8.6383,2.9305,-5.0757
16308306,7.3741,3.7924,-2.1835
16308356,8.6383,3.3902,0.5555
16308405,5.5162,3.4668,2.6049
16308456,5.7652,-0.3065,4.9225
16308505,6.1866,-0.1724,5.3056
16308554,3.1412,-2.3367,7.6231
16308604,8.2744,-1.8579,9.4810
16308655,2.7390,-3.5434,8.0445
16308705,2.5666,-3.9073,12.5265
16308755,3.4093,-4.2904,11.8561
16308805,0.6129,-4.7501,13.8289
16308855,1.8579,-2.1261,10.8409
16308905,4.5011,-4.6352,8.2744
16308955,1.8004,-3.9265,9.6534
16309005,2.8922,-0.0383,8.2169
16309055,0.7470,0.7470,8.0062
16309105,1.3982,1.0918,10.2089
16309155,1.2833,-0.5363,8.4467
16309205,-0.1532,0.1724,11.9710
16309255,0.7661,0.4022,9.4619
16309305,-0.9385,0.4405,11.3389
16309355,1.0343,0.4788,8.6574
16309405,-0.0383,0.2873,10.2089
16309455,0.1724,0.3256,10.0173
16309505,-1.7047,1.3216,9.8067
16309555,-0.4980,-0.4597,10.8793
16309604,0.7278,0.4405,9.5002
16309654,1.3982,1.4365,10.2472
16309704,-2.3367,1.0726,9.2129
16309754,0.7661,-0.1341,10.2089
16309807,-0.3065,-0.1915,9.9407
16309854,1.8962,-0.7278,9.8258
16309907,1.6664,1.6089,10.5728
16309954,0.5363,1.5706,9.2895
16310004,0.1341,-0.0383,9.6534
16310054,-0.2107,0.0958,9.7109
16310104,0.2298,0.2682,10.4004
16310154,-0.1341,0.6321,9.3087
16310204,0.1532,0.3065,9.6726
16310254,-0.1149,0.2490,9.9599
16310304,0.3448,0.0766,9.5385
16310354,-0.2490,0.4405,10.4770
16310404,-0.3639,0.3065,9.8641
16310454,-0.3639,0.4788,10.1323
16310504,-0.4022,0.9577,9.9790
16310554,0.4980,0.6321,9.6343
16310604,-0.4980,1.5131,9.3661
16310654,0.2682,0.0383,10.0556
16310704,1.3024,-0.6512,10.4196
16310754,1.4748,-1.1492,8.6766
16310818,0.5746,0.0766,8.1020
16310858,0.0000,0.5171,10.4579
16310904,0.0575,0.4788,9.7875
16310954,0.0192,0.4788,9.8067
16311004,0.0192,0.4788,9.8833
16311054,0.0383,0.5171,9.8641
16311104,0.0575,0.5171,9.8258
16311154,0.0192,0.4788,9.8067
16311206,-0.0383,0.4788,9.8450
16311256,-0.0766,0.4788,9.8067
16311304,-0.1532,0.5171,9.8067
16311356,-0.0575,0.5171,9.8450
16311406,-0.0766,0.5171,9.8067
16311456,-0.0766,0.5363,9.7875
16311504,-0.0766,0.5746,9.8641
16311555,-0.0766,0.5555,9.8450
16311604,-0.1149,0.5171,9.8067
16311654,-0.1149,0.5363,9.8067
16311704,-0.0958,0.5363,9.8258
16311755,-0.0958,0.5363,9.8450
16311805,-0.0958,0.5555,9.8450
16311855,-0.0958,0.5363,9.8258
16311905,-0.0766,0.5363,9.8450
16311955,-0.0766,0.5363,9.8258
16312005,-0.0958,0.5363,9.8450
