time,x,y,z
16296065,-1.1037,6.1675,-8.2049
16297885,1.6424,5.0973,-7.0246
16299285,0.3160,9.4595,0.7566
16301804,6.9887,5.7126,-2.0710
16304534,7.8434,3.8140,-4.5538
16307195,7.7141,4.6208,-4.0654
16310975,4.8291,5.8275,-5.8347
16311464,5.1619,5.5833,-6.8953
16311535,5.1858,5.4636,-7.0078
16311605,5.1811,5.5306,-7.2065
16311675,5.5354,5.3822,-7.0030
16311744,5.8419,5.3391,-6.8474
16311815,6.3566,5.0949,-6.2273
16311885,6.2441,4.6687,-4.6376
16311955,6.2537,4.3383,-2.5546
16312025,5.6455,3.3830,0.0551
16312095,4.3598,3.0478,2.9640
16312165,3.0406,2.8922,7.1132
16312234,2.0710,2.1715,9.5912
16312305,0.6057,2.3846,12.3110
16312375,-0.3519,0.2658,13.3501
16312444,-0.8571,-0.7111,11.2312
16312514,-1.8507,-0.7901,10.8074
16312584,-1.6616,-1.1779,9.5002
16312655,-1.5538,0.1796,8.8202
16312724,-1.0726,0.4238,9.3901
16312794,-1.0726,0.4884,9.4236
16312865,-0.9337,0.4693,9.5074
16312934,-0.7278,0.5219,9.7133
16313005,-0.7422,0.4764,9.7875
16313074,-0.5962,0.5435,9.7420
16313145,-0.6608,0.4573,9.7420
16313215,-0.6800,0.5291,9.6367
16313285,-0.6297,0.5507,9.6055
16313355,-0.6249,0.5818,9.5816
16313424,-0.5938,0.6129,9.6103
16313495,-0.5363,0.6895,9.5912
16313565,-0.7135,0.5124,9.6343
16313634,-0.8092,0.3711,9.6462
16313705,-0.8116,0.4118,9.7157
16313775,-0.9744,0.2131,9.7947
16313845,-0.9840,0.4094,9.7995
16313914,-0.9266,0.3256,9.8426
16313985,-1.0582,0.3232,9.6606
16314055,-1.1492,0.3543,9.5984
16314124,-1.1253,0.2035,9.5265
16314195,-1.2210,0.2394,9.5936
16314265,-1.1827,0.1700,9.6510
16314335,-1.1468,0.2490,9.6558
16314405,-1.1851,0.3496,9.6774
16314475,-1.1444,0.3639,9.5744
16314544,-1.1612,0.3950,9.5433
16314614,-1.0846,0.2298,9.6391
16314685,-1.0343,0.3089,9.5960
16314755,-1.0678,0.2418,9.5241
16314824,-0.9409,0.1580,9.6271
16314895,-0.9146,0.2298,9.5241
16314965,-0.9218,0.1460,9.4451
16315035,-0.9481,0.1724,9.5720
16315104,-0.9888,0.2131,9.5170
16315175,-0.9625,0.1987,9.5241
16315245,-0.9170,0.1580,9.6391
16315314,-0.9266,0.1628,9.6415
16315385,-0.9912,0.1508,9.6630
16315455,-1.0894,0.1867,9.6893
16315525,-1.0989,0.1532,9.7300
16315594,-1.0894,0.1484,9.6917
16315665,-1.0558,0.1317,9.7013
16315735,-1.0654,0.0910,9.6678
16315804,-1.1396,0.0910,9.6079
16315875,-1.1803,0.0670,9.6007
16315945,-1.2186,0.0838,9.5768
16316014,-1.1372,-0.0311,9.5481
16316084,-1.1492,-0.1053,9.6103
16316155,-1.1109,-0.2466,9.4882
16316225,-1.0439,-0.4142,9.5289
16316294,-1.1564,-0.3807,9.5433
16316365,-1.1109,-0.4286,9.4643
16316435,-1.1085,-0.3615,9.5816
16316505,-1.0367,-0.2658,9.5505
16316574,-1.0199,-0.1532,9.6103
16316645,-1.0487,-0.0934,9.6510
16316715,-1.0894,0.0646,9.6127
16316784,-1.1157,0.0192,9.6295
16316855,-1.1181,0.0742,9.6678
16316925,-1.0606,0.1221,9.6438
16316995,-1.0367,0.0527,9.7612
16317064,-1.0726,0.1341,9.6702
16317135,-1.0319,-0.0646,9.6127
16317205,-1.0846,-0.0934,9.6391
16317275,-1.0654,-0.2083,9.5936
16317344,-1.1181,-0.2705,9.6869
16317415,-1.1277,-0.2394,9.7085
16317485,-1.1205,-0.2538,9.7324
16317554,-1.1229,-0.2107,9.6702
16317625,-1.1133,-0.2059,9.6989
16317695,-1.0558,-0.1628,9.7252
16317765,-1.0463,-0.1484,9.6798
16317834,-1.0463,-0.1389,9.7133
16317905,-1.0487,-0.1508,9.6822
16317975,-1.0965,-0.1628,9.6510
16318044,-1.0870,-0.1652,9.6510
16318115,-1.1301,-0.1532,9.6726
16318185,-1.0870,-0.1341,9.6822
16318255,-1.0463,-0.1580,9.6678
16318324,-1.0223,-0.1413,9.6391
16318395,-0.9816,-0.1724,9.6151
16318465,-0.9840,-0.1676,9.5888
16318535,-0.9936,-0.1628,9.6510
16318604,-1.0223,-0.1844,9.6582
16318675,-1.0271,-0.1676,9.6391
16318745,-1.0319,-0.1676,9.6343
16318814,-1.0415,-0.1437,9.5505
16318885,-1.0319,-0.1341,9.5816
16318955,-1.0127,-0.1293,9.5864
16319025,-1.0271,-0.1221,9.6367
16319094,-1.0511,-0.1245,9.7492
16319165,-1.0726,-0.1125,9.7348
16319235,-1.1277,-0.1197,9.7923
16319304,-1.1875,-0.1221,9.7827
16319375,-1.2617,-0.1365,9.7181
16319445,-1.2833,-0.1532,9.7755
16319514,-1.2857,-0.1580,9.7612
16319584,-1.3216,-0.1700,9.7420
16319655,-1.3384,-0.1341,9.7468
16319725,-1.4365,-0.1389,9.6917
16319795,-1.5371,-0.1437,9.6295
16319865,-1.6089,-0.1700,9.6295
16319935,-1.6448,-0.2107,9.5792
16320005,-1.6975,-0.2083,9.5648
16320074,-1.7071,-0.1891,9.6103
16320145,-1.6472,-0.1532,9.5888
16320215,-1.5874,-0.1125,9.6127
16320285,-1.4796,-0.0622,9.6486
16320355,-1.3958,-0.0503,9.6558
16320425,-1.3527,-0.0215,9.6702
16320495,-1.3288,-0.0168,9.6869
16320564,-1.3288,-0.0239,9.6845
16320635,-1.3216,-0.0192,9.5984
16320705,-1.3288,-0.0503,9.6271
16320774,-1.3360,-0.0479,9.5816
16320845,-1.3120,-0.0694,9.5600
16320915,-1.3192,-0.0646,9.6558
16320985,-1.3120,-0.0407,9.6606
16321054,-1.3240,-0.0263,9.6845
16321125,-1.3336,-0.0168,9.7109
16321195,-1.3312,-0.0168,9.6917
16321264,-1.3575,-0.0168,9.6415
16321334,-1.3743,-0.0287,9.6175
16321405,-1.4030,-0.0311,9.5840
16321475,-1.4030,-0.0311,9.5816
16321544,-1.3815,-0.0072,9.5672
16321615,-1.3719,-0.0287,9.6271
16321685,-1.3527,-0.0215,9.6367
16321755,-1.3599,-0.0072,9.6295
16321825,-1.3671,-0.0048,9.6367
16321895,-1.3910,0.0120,9.6055
16321964,-1.3982,0.0000,9.6055
16322034,-1.3791,-0.0120,9.6343
16322105,-1.3695,-0.0359,9.6415
16322175,-1.3479,-0.0287,9.6319
16322244,-1.3264,0.0024,9.6295
16322315,-1.3264,0.0096,9.6175
16322385,-1.3264,0.0407,9.6055
16322454,-1.2881,0.0599,9.5241
16322524,-1.2689,0.0335,9.5624
16322595,-1.2330,0.0407,9.5505
16322665,-1.2234,0.0455,9.5816
16322734,-1.2426,0.0479,9.6127
16322804,-1.2689,0.0766,9.5888
16322875,-1.3168,0.0694,9.5864
16322945,-1.3264,0.0479,9.5720
16323014,-1.3360,0.0455,9.6127
16323085,-1.3360,0.0407,9.5792
16323155,-1.3431,0.0215,9.5792
16323224,-1.3599,0.0096,9.5696
16323295,-1.3719,-0.0168,9.5984
16323365,-1.4078,-0.0096,9.6103
16323435,-1.4054,0.0000,9.6343
16323505,-1.3982,0.0072,9.6295
16323575,-1.4078,-0.0287,9.6223
16323645,-1.3695,-0.0335,9.6558
16323715,-1.3934,-0.0335,9.6438
16323784,-1.4150,-0.0287,9.6726
16323855,-1.4006,0.0048,9.6510
16323925,-1.4126,-0.0048,9.6367
16323994,-1.3695,0.0263,9.6175
16324065,-1.3288,0.0335,9.6079
16324135,-1.2905,0.0551,9.6247
16324205,-1.2522,0.0742,9.6391
16324274,-1.1899,0.0622,9.6175
16324344,-1.1708,0.0503,9.6391
16324415,-1.1444,0.0287,9.6295
16324485,-1.1372,0.0072,9.6079
16324554,-1.1899,0.0024,9.6415
16324625,-1.1803,-0.0024,9.6127
16324695,-1.2163,-0.0120,9.5984
16324764,-1.2354,-0.0144,9.5864
16324834,-1.2522,-0.0192,9.5888
16324905,-1.2857,-0.0096,9.5912
16324975,-1.3072,0.0000,9.6103
16325044,-1.3072,0.0168,9.6247
16325115,-1.3024,0.0144,9.5888
16325185,-1.3360,-0.0072,9.6007
16325254,-1.3192,0.0120,9.5768
16325325,-1.3503,0.0024,9.5912
16325395,-1.3815,0.0024,9.5936
16325465,-1.3862,0.0024,9.5864
16325534,-1.4006,-0.0192,9.6271
16325605,-1.4078,-0.0263,9.6223
16325675,-1.4102,-0.0503,9.6630
16325745,-1.3982,-0.0359,9.6726
16325814,-1.4174,-0.0503,9.6582
16325885,-1.4174,-0.0838,9.6534
16325955,-1.4006,-0.1006,9.6510
16326024,-1.4030,-0.1245,9.6391
16326095,-1.4006,-0.1221,9.6199
16326165,-1.3958,-0.1125,9.6199
16326235,-1.4341,-0.0982,9.5984
16326304,-1.4389,-0.0934,9.6079
16326375,-1.4389,-0.0862,9.6223
16326445,-1.4413,-0.0646,9.5960
16326514,-1.4269,-0.0599,9.6151
16326584,-1.4293,-0.0479,9.6127
16326654,-1.4222,-0.0551,9.6103
16326725,-1.4317,-0.0670,9.6247
16326794,-1.4222,-0.0670,9.6223
16326865,-1.4126,-0.0766,9.6462
16326935,-1.4126,-0.0742,9.6582
16327005,-1.4126,-0.0527,9.6798
16327074,-1.4102,-0.0479,9.6774
16327145,-1.4293,-0.0359,9.6415
16327215,-1.4581,-0.0407,9.6103
16327285,-1.4509,-0.0359,9.5936
16327354,-1.4557,-0.0383,9.5768
16327425,-1.4413,-0.0479,9.5768
16327495,-1.4389,-0.0431,9.5792
16327564,-1.4533,-0.0479,9.5648
16327635,-1.4533,-0.0335,9.5696
16327705,-1.4581,-0.0192,9.5481
16327775,-1.4485,0.0096,9.5864
16327844,-1.4174,0.0383,9.5840
16327915,-1.4174,0.0599,9.6103
